,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,DISTANCE
7428,1,6,AS,SNA,SEA,1913.0,0.0,1900-1959,2158.0,0.0,978.0
7430,1,6,AS,SNA,SEA,1526.0,0.0,1500-1559,1809.0,0.0,978.0
7431,1,6,AS,SEA,SNA,1722.0,0.0,1700-1759,1954.0,0.0,978.0
7432,1,6,AS,LAX,EWR,623.0,0.0,0600-0659,1501.0,0.0,2454.0
7433,1,6,AS,SEA,SJC,1025.0,0.0,1000-1059,1239.0,0.0,696.0
7434,1,6,AS,PSP,SEA,1925.0,0.0,1900-1959,2203.0,0.0,987.0
7435,1,6,AS,SNA,SEA,656.0,0.0,0700-0759,958.0,0.0,978.0
7436,1,6,AS,SNA,SEA,946.0,0.0,0900-0959,1226.0,0.0,978.0
7437,1,6,AS,TPA,SEA,747.0,0.0,0700-0759,1102.0,0.0,2520.0
7438,1,6,AS,SNA,PDX,1544.0,0.0,1500-1559,1824.0,0.0,859.0
7439,1,6,AS,TPA,SEA,1749.0,0.0,1700-1759,2102.0,0.0,2520.0
7440,1,6,AS,SEA,ONT,842.0,0.0,0800-0859,1109.0,0.0,956.0
7441,1,6,AS,LAX,SEA,729.0,0.0,0700-0759,1017.0,0.0,954.0
7442,1,6,AS,SEA,OAK,1000.0,1.0,0900-0959,1212.0,1.0,672.0
7443,1,6,AS,ONT,SEA,1004.0,0.0,1000-1059,1243.0,0.0,956.0
7444,1,6,AS,SAN,SEA,1125.0,0.0,1100-1159,1407.0,0.0,1050.0
7445,1,6,AS,PDX,LAX,1742.0,1.0,1700-1759,2015.0,1.0,834.0
7446,1,6,AS,SEA,SMF,1540.0,0.0,1500-1559,1734.0,0.0,605.0
7447,1,6,AS,SNA,SEA,1134.0,0.0,1100-1159,1428.0,0.0,978.0
7448,1,6,AS,PDX,SAN,2027.0,0.0,2000-2059,2305.0,0.0,933.0
7449,1,6,AS,SNA,SEA,1349.0,1.0,1300-1359,1632.0,0.0,978.0
7450,1,6,AS,LAX,EWR,2224.0,0.0,2200-2259,645.0,1.0,2454.0
7451,1,6,AS,LAX,PDX,2214.0,1.0,2100-2159,42.0,1.0,834.0
7452,1,6,AS,SLC,SEA,1728.0,0.0,1700-1759,1835.0,0.0,689.0
7453,1,6,AS,PDX,LAX,754.0,0.0,0800-0859,1017.0,0.0,834.0
7454,1,6,AS,IAH,SEA,552.0,0.0,0600-0659,847.0,0.0,1874.0
7455,1,6,AS,PDX,SAN,1136.0,0.0,1100-1159,1410.0,0.0,933.0
7456,1,6,AS,PSP,SEA,1201.0,1.0,1100-1159,1445.0,0.0,987.0
7457,1,6,AS,SEA,SAN,1446.0,0.0,1400-1459,1716.0,0.0,1050.0
7458,1,6,AS,SEA,BUR,835.0,0.0,0800-0859,1056.0,0.0,937.0
7459,1,6,AS,SAN,SEA,931.0,0.0,0900-0959,1220.0,0.0,1050.0
7460,1,6,AS,PDX,SNA,1201.0,0.0,1200-1259,1426.0,0.0,859.0
7461,1,6,AS,PHX,SEA,1430.0,0.0,1400-1459,1631.0,0.0,1107.0
7462,1,6,AS,SEA,BOI,2140.0,0.0,2100-2159,2400.0,0.0,399.0
7463,1,6,AS,SAN,PDX,1052.0,0.0,1100-1159,1323.0,0.0,933.0
7464,1,6,AS,PDX,LAX,1315.0,0.0,1300-1359,1556.0,0.0,834.0
7465,1,6,AS,SEA,LAS,1940.0,0.0,1900-1959,2213.0,0.0,867.0
7466,1,6,AS,LAS,SEA,1526.0,1.0,1500-1559,1801.0,0.0,867.0
7467,1,6,AS,PHX,SEA,817.0,0.0,0800-0859,1024.0,0.0,1107.0
7468,1,6,AS,ONT,SEA,624.0,0.0,0600-0659,903.0,0.0,956.0
7469,1,6,AS,SEA,PHX,1339.0,0.0,1300-1359,1730.0,0.0,1107.0
7470,1,6,AS,JFK,SFO,714.0,0.0,0700-0759,1014.0,0.0,2586.0
7471,1,6,AS,PHX,ANC,6.0,0.0,0001-0559,347.0,0.0,2552.0
7472,1,6,AS,SEA,LAS,1603.0,0.0,1600-1659,1830.0,0.0,867.0
7473,1,6,AS,JFK,SFO,924.0,0.0,0900-0959,1237.0,0.0,2586.0
7474,1,6,AS,SEA,JFK,813.0,0.0,0800-0859,1632.0,0.0,2422.0
7475,1,6,AS,JFK,SFO,1121.0,0.0,1100-1159,1425.0,0.0,2586.0
7476,1,6,AS,SEA,SNA,1541.0,0.0,1500-1559,1831.0,0.0,978.0
7477,1,6,AS,PHX,SEA,1632.0,0.0,1600-1659,1831.0,0.0,1107.0
7478,1,6,AS,PHX,SEA,550.0,0.0,0600-0659,810.0,0.0,1107.0
7479,1,6,AS,PDX,PHX,1929.0,0.0,1900-1959,2302.0,0.0,1009.0
7480,1,6,AS,TUS,SEA,1520.0,0.0,1500-1559,1751.0,0.0,1216.0
7481,1,6,AS,PDX,PHX,943.0,0.0,0900-0959,1322.0,0.0,1009.0
7482,1,6,AS,SAT,SEA,621.0,0.0,0600-0659,859.0,0.0,1774.0
7483,1,6,AS,SEA,PHX,1803.0,0.0,1800-1859,2154.0,0.0,1107.0
7484,1,6,AS,SEA,TUS,1036.0,1.0,1000-1059,1434.0,0.0,1216.0
7485,1,6,AS,PHX,SEA,1817.0,0.0,1800-1859,2013.0,0.0,1107.0
7486,1,6,AS,SEA,PHX,1151.0,0.0,1100-1159,1544.0,0.0,1107.0
7487,1,6,AS,DFW,SEA,1322.0,1.0,1300-1359,1515.0,0.0,1660.0
7488,1,6,AS,PDX,DFW,731.0,0.0,0700-0759,1328.0,0.0,1616.0
7489,1,6,AS,DEN,SEA,1118.0,0.0,1100-1159,1342.0,0.0,1024.0
7490,1,6,AS,SEA,PHX,1524.0,0.0,1500-1559,1906.0,0.0,1107.0
7491,1,6,AS,DFW,PDX,1416.0,0.0,1400-1459,1616.0,0.0,1616.0
7492,1,6,AS,SEA,PHX,948.0,0.0,0900-0959,1338.0,0.0,1107.0
7493,1,6,AS,JFK,SFO,1632.0,0.0,1600-1659,1946.0,0.0,2586.0
7494,1,6,AS,SEA,DFW,645.0,1.0,0600-0659,1216.0,1.0,1660.0
7495,1,6,AS,PHX,PDX,1407.0,0.0,1400-1459,1539.0,0.0,1009.0
7496,1,6,AS,SEA,DEN,653.0,0.0,0700-0759,1022.0,0.0,1024.0
7497,1,6,AS,DEN,SEA,655.0,0.0,0700-0759,857.0,0.0,1024.0
7498,1,6,AS,SEA,PHX,744.0,0.0,0700-0759,1139.0,0.0,1107.0
7499,1,6,AS,MCI,SEA,617.0,0.0,0600-0659,840.0,0.0,1489.0
7500,1,6,AS,PDX,ORD,1022.0,0.0,1000-1059,1611.0,0.0,1739.0
7501,1,6,AS,ORD,PDX,1533.0,0.0,1500-1559,1809.0,0.0,1739.0
7502,1,6,AS,SEA,LAS,1443.0,0.0,1400-1459,1716.0,0.0,867.0
7503,1,6,AS,GEG,SEA,651.0,0.0,0700-0759,833.0,0.0,224.0
7504,1,6,AS,SEA,KOA,952.0,0.0,0900-0959,1445.0,1.0,2688.0
7505,1,6,AS,MSY,SEA,723.0,0.0,0700-0759,1037.0,0.0,2086.0
7506,1,6,AS,MSY,SEA,1751.0,0.0,1700-1759,2056.0,0.0,2086.0
7507,1,6,AS,SEA,SAN,1939.0,0.0,1900-1959,2211.0,0.0,1050.0
7508,1,6,AS,SEA,RDU,817.0,0.0,0800-0859,1601.0,0.0,2354.0
7509,1,6,AS,HNL,SFO,1643.0,0.0,1700-1759,2350.0,0.0,2398.0
7510,1,6,AS,SFO,LAS,1257.0,1.0,1200-1259,1433.0,1.0,414.0
7511,1,6,AS,SEA,OMA,945.0,0.0,0900-0959,1441.0,0.0,1368.0
7512,1,6,AS,SEA,SLC,1331.0,0.0,1300-1359,1630.0,0.0,689.0
